Date,Microsoft,IBM,Johnson&Johnson,Walmart,JP Morgan
2005-04-01,25.299999237060547,73.02103424072266,68.62999725341797,47.13999938964844,35.4900016784668
2005-05-01,25.799999237060547,72.22753143310547,67.0999984741211,47.22999954223633,35.75
2005-06-01,24.84000015258789,70.93690490722656,65.0,48.20000076293945,35.31999969482422
2005-07-01,25.610000610351562,79.7896728515625,63.959999084472656,49.349998474121094,35.13999938964844
2005-08-01,27.3799991607666,77.07456970214844,63.38999938964844,44.959999084472656,33.88999938964844
2005-09-01,25.729999542236328,76.6921615600586,63.279998779296875,43.81999969482422,33.93000030517578
2005-10-01,25.700000762939453,78.27915954589844,62.619998931884766,47.310001373291016,36.619998931884766
2005-11-01,27.68000030517578,84.99044036865234,61.75,48.560001373291016,38.25
2005-12-01,26.149999618530273,78.5850830078125,60.099998474121094,46.79999923706055,39.689998626708984
2006-01-01,28.149999618530273,77.72466278076172,57.540000915527344,46.11000061035156,39.75
2006-02-01,26.8700008392334,76.7112808227539,57.650001525878906,45.36000061035156,41.13999938964844
2006-03-01,27.209999084472656,78.84320831298828,59.220001220703125,47.2400016784668,41.63999938964844
2006-04-01,24.149999618530273,78.71892547607422,58.61000061035156,45.029998779296875,45.380001068115234
2006-05-01,22.649999618530273,76.38623046875,60.220001220703125,48.45000076293945,42.63999938964844
2006-06-01,23.299999237060547,73.44168090820312,59.91999816894531,48.16999816894531,42.0
2006-07-01,24.059999465942383,74.0057373046875,62.54999923706055,44.5,45.619998931884766
2006-08-01,25.700000762939453,77.4091796875,64.66000366210938,44.720001220703125,45.65999984741211
2006-09-01,27.350000381469727,78.33651733398438,64.94000244140625,49.31999969482422,46.959999084472656
2006-10-01,28.709999084472656,88.26959991455078,67.4000015258789,49.279998779296875,47.439998626708984
2006-11-01,29.360000610351562,87.87763214111328,65.91000366210938,46.099998474121094,46.279998779296875
2006-12-01,29.860000610351562,92.87763214111328,66.0199966430664,46.18000030517578,48.29999923706055
2007-01-01,30.860000610351562,94.7896728515625,66.80000305175781,47.689998626708984,50.93000030517578
2007-02-01,28.170000076293945,88.85277557373047,62.93000030517578,48.310001373291016,49.38999938964844
2007-03-01,27.8700008392334,90.1147232055664,60.2599983215332,46.95000076293945,48.380001068115234
2007-04-01,29.940000534057617,97.71510314941406,64.22000122070312,47.91999816894531,52.099998474121094
2007-05-01,30.690000534057617,101.91204833984375,63.27000045776367,47.599998474121094,51.83000183105469
2007-06-01,29.469999313354492,100.62141418457031,61.619998931884766,48.11000061035156,48.45000076293945
2007-07-01,28.989999771118164,105.783935546875,60.5,45.95000076293945,44.0099983215332
2007-08-01,28.729999542236328,111.55831909179688,61.790000915527344,43.630001068115234,44.52000045776367
2007-09-01,29.459999084472656,112.61949920654297,65.69999694824219,43.650001525878906,45.81999969482422
2007-10-01,36.810001373291016,111.01338195800781,65.16999816894531,45.209999084472656,47.0
2007-11-01,33.599998474121094,100.55449676513672,67.73999786376953,47.900001525878906,45.619998931884766
2007-12-01,35.599998474121094,103.34607696533203,66.69999694824219,47.529998779296875,43.650001525878906
2008-01-01,32.599998474121094,102.39962005615234,63.13999938964844,50.7400016784668,47.400001525878906
2008-02-01,27.200000762939453,108.85277557373047,61.959999084472656,49.59000015258789,40.650001525878906
2008-03-01,28.3799991607666,110.07648468017578,64.87000274658203,52.68000030517578,42.95000076293945
2008-04-01,28.520000457763672,115.3919677734375,67.08999633789062,57.97999954223633,47.650001525878906
2008-05-01,28.31999969482422,123.73805236816406,66.73999786376953,57.7400016784668,43.0
2008-06-01,27.510000228881836,113.31739807128906,64.33999633789062,56.20000076293945,34.310001373291016
2008-07-01,25.719999313354492,122.35181427001953,68.47000122070312,58.619998931884766,40.630001068115234
2008-08-01,27.290000915527344,116.37667083740234,70.43000030517578,59.06999969482422,38.4900016784668
2008-09-01,26.690000534057617,111.81644439697266,69.27999877929688,59.88999938964844,46.70000076293945
2008-10-01,22.329999923706055,88.88145446777344,61.34000015258789,55.810001373291016,41.25
2008-11-01,20.219999313354492,78.011474609375,58.58000183105469,55.880001068115234,31.65999984741211
2008-12-01,19.440000534057617,80.45889282226562,59.83000183105469,56.060001373291016,31.530000686645508
2009-01-01,17.100000381469727,87.61949920654297,57.689998626708984,47.119998931884766,25.510000228881836
2009-02-01,16.149999618530273,87.98279571533203,50.0,49.2400016784668,22.850000381469727
2009-03-01,18.3700008392334,92.62906646728516,52.599998474121094,52.099998474121094,26.579999923706055
2009-04-01,20.260000228881836,98.67112731933594,52.36000061035156,50.400001525878906,33.0
2009-05-01,20.889999389648438,101.60611724853516,55.15999984741211,49.7400016784668,36.900001525878906
2009-06-01,23.770000457763672,99.82791900634766,56.79999923706055,48.439998626708984,34.11000061035156
2009-07-01,23.520000457763672,112.74378967285156,60.88999938964844,49.880001068115234,38.650001525878906
2009-08-01,24.649999618530273,112.85850524902344,60.439998626708984,50.869998931884766,43.459999084472656
2009-09-01,25.719999313354492,114.34990692138672,60.88999938964844,49.09000015258789,43.81999969482422
2009-10-01,27.729999542236328,115.30592346191406,59.04999923706055,49.68000030517578,41.77000045776367
2009-11-01,29.40999984741211,120.79350280761719,62.84000015258789,54.54999923706055,42.4900016784668
2009-12-01,30.479999542236328,125.14340209960938,64.41000366210938,53.45000076293945,41.66999816894531
2010-01-01,28.18000030517578,117.00764465332031,62.86000061035156,53.43000030517578,38.939998626708984
2010-02-01,28.670000076293945,121.56787872314453,63.0,54.06999969482422,41.970001220703125
2010-03-01,29.290000915527344,122.60993957519531,65.19999694824219,55.599998474121094,44.75
2010-04-01,30.540000915527344,123.32695770263672,64.30000305175781,53.63999938964844,42.58000183105469
2010-05-01,25.799999237060547,119.75143432617188,58.29999923706055,50.560001373291016,39.58000183105469
2010-06-01,23.010000228881836,118.04971313476562,59.060001373291016,48.06999969482422,36.61000061035156
2010-07-01,25.809999465942383,122.75334930419922,58.09000015258789,51.189998626708984,40.279998779296875
2010-08-01,23.469999313354492,117.71510314941406,57.02000045776367,50.13999938964844,36.36000061035156
2010-09-01,24.489999771118164,128.2409210205078,61.959999084472656,53.52000045776367,38.060001373291016
2010-10-01,26.670000076293945,137.28489685058594,63.7400016784668,54.16999816894531,37.630001068115234
2010-11-01,25.260000228881836,135.23899841308594,61.54999923706055,54.09000015258789,37.400001525878906
2010-12-01,27.90999984741211,140.30592346191406,61.849998474121094,53.93000030517578,42.41999816894531
2011-01-01,27.729999542236328,154.87571716308594,59.77000045776367,56.06999969482422,44.939998626708984
2011-02-01,26.579999923706055,154.76100158691406,61.439998626708984,51.97999954223633,46.689998626708984
2011-03-01,25.389999389648438,155.89866638183594,59.25,52.04999923706055,46.099998474121094
2011-04-01,25.920000076293945,163.07839965820312,65.72000122070312,54.97999954223633,45.630001068115234
2011-05-01,25.010000228881836,161.50096130371094,67.29000091552734,55.220001220703125,43.2400016784668
2011-06-01,26.0,164.0057373046875,66.5199966430664,53.13999938964844,40.939998626708984
2011-07-01,27.399999618530273,173.85276794433594,64.79000091552734,52.709999084472656,40.45000076293945
2011-08-01,26.600000381469727,164.3498992919922,65.80000305175781,53.189998626708984,37.560001373291016
2011-09-01,24.889999389648438,167.1797332763672,63.689998626708984,51.900001525878906,30.1200008392334
2011-10-01,26.6299991607666,176.51051330566406,64.38999938964844,56.720001220703125,34.7599983215332
2011-11-01,25.579999923706055,179.73231506347656,64.72000122070312,58.900001525878906,30.969999313354492
2011-12-01,25.959999084472656,175.7935028076172,65.58000183105469,59.7599983215332,33.25
2012-01-01,29.530000686645508,184.13002014160156,65.91000366210938,61.36000061035156,37.29999923706055
2012-02-01,31.739999771118164,188.07839965820312,65.08000183105469,59.08000183105469,39.2400016784668
2012-03-01,32.2599983215332,199.47418212890625,65.95999908447266,61.20000076293945,45.97999954223633
2012-04-01,32.02000045776367,197.97323608398438,65.0999984741211,58.90999984741211,42.97999954223633
2012-05-01,29.190000534057617,184.4168243408203,62.43000030517578,65.81999969482422,33.150001525878906
2012-06-01,30.59000015258789,186.97897338867188,67.55999755859375,69.72000122070312,35.72999954223633
2012-07-01,29.469999313354492,187.3613739013672,69.22000122070312,74.43000030517578,36.0
2012-08-01,30.81999969482422,186.28106689453125,67.43000030517578,72.5999984741211,37.13999938964844
2012-09-01,29.760000228881836,198.32696533203125,68.91000366210938,73.80000305175781,40.47999954223633
2012-10-01,28.540000915527344,185.9751434326172,70.81999969482422,75.0199966430664,41.68000030517578
2012-11-01,26.6200008392334,181.71128845214844,69.7300033569336,72.0199966430664,41.08000183105469
2012-12-01,26.709999084472656,183.12619018554688,70.0999984741211,68.2300033569336,43.970001220703125
2013-01-01,27.450000762939453,194.1395721435547,73.91999816894531,69.94999694824219,47.04999923706055
2013-02-01,27.799999237060547,191.9980926513672,76.11000061035156,70.77999877929688,48.91999816894531
2013-03-01,28.610000610351562,203.91969299316406,81.52999877929688,74.83000183105469,47.459999084472656
2013-04-01,33.099998474121094,193.6328887939453,85.2300033569336,77.72000122070312,49.0099983215332
2013-05-01,34.900001525878906,198.87188720703125,84.18000030517578,74.83999633789062,54.59000015258789
2013-06-01,34.540000915527344,182.70555114746094,85.86000061035156,74.48999786376953,52.790000915527344
2013-07-01,31.84000015258789,186.46270751953125,93.5,77.94000244140625,55.72999954223633
2013-08-01,33.400001525878906,174.25430297851562,86.41000366210938,72.9800033569336,50.529998779296875
2013-09-01,33.279998779296875,177.0363311767578,86.69000244140625,73.95999908447266,51.689998626708984
2013-10-01,35.40999984741211,171.32887268066406,92.61000061035156,76.75,51.540000915527344
2013-11-01,38.130001068115234,171.7781982421875,94.66000366210938,81.01000213623047,57.220001220703125
2013-12-01,37.40999984741211,179.32122802734375,91.58999633789062,78.69000244140625,58.47999954223633
2014-01-01,37.84000015258789,168.91014099121094,88.47000122070312,74.68000030517578,55.36000061035156
2014-02-01,38.310001373291016,177.02676391601562,92.12000274658203,74.69999694824219,56.81999969482422
2014-03-01,40.9900016784668,184.0248565673828,98.2300033569336,76.43000030517578,60.709999084472656
